"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","estimated-ltsf-next-charge","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","weeks-of-cover","weeks-of-cover-estimated-excess-quantity","recommended-order-quantity","recommended-order-date","restock-plus-seller-eligible","restock-plus-seller-opted","restock-plus-suggested-weeks-of-cover","restock-plus-storage-incentives","restock-plus-total-incentives","proposed-restock-plus-cover-start-date","proposed-restock-plus-cover-end-date","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Transfer","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)"
"2026-06-03","L3-M26H-4JS3","X002J9SM3F","B0GSB57ND5","Breathable Leather Steering Wheel Cover - Anti-Slip Perforated Design for Cool Grip, Universal 15 Inch Fit, Durable Steering Protector for Cars, SUVs & Trucks - (Black with Grey Stitching)","","0","-1","","","","","","EGP","","","","","1","1","14","14","","0.0","0.0","0.0","0.0","CreateShippingPlan","-1.0","","","Standard","","EG","gl_automotive","","0","0","0","0","288.48","288.48","288.48","4038.72","4038.72","","","","0","","","0","0","0","0","0","0","0.0","0","20","06/03/2026","false","","","0.0","0.0","","","","0","0","0","0","0"
"2026-06-03","ARHA07G001489","X0028LJIM3","B08YNS67YR","Other Kitchen Knife Sharpener - 3 Stages","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","46.26","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","ARHA07G002622","X0028LKN31","B0993RCFWM","Can opener jar bottle adjustable manual stainless steel easy kitchen tool","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","84.47","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","DHWC0002","X001KRQ2MP","B091J6C8F2","Natural wood comb in size 18 cm in 5 cm weight 28 grams - tight tooth 1.5 ml","","0","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","Standard","","EG","gl_drugstore","","","0","","","30.0","","","","","","","","0","","","0","0","0","0","0","0","0.0","0","0","","false","","","","","","","","0","0","0","0",""
"2026-06-03","HKKCFFL001","X002DIZX9N","B0FLVB7MP3","Cello Lunch Buddy Lunch Box with Spoon and Fork – Durable BPA-Free Food Container for Office, School, and Travel – Leakproof Lunchbox for Kids and Adults","","0","-1","","","","","","EGP","","","","","0","0","0","0","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","Standard","","EG","gl_kitchen","","","0","","","153.38","0.0","0.0","0.0","0.0","","","","0","","","0","0","0","0","0","0","0.0","0","0","","false","","","0.0","0.0","","","","0","0","0","0",""
"2026-06-03","B09BD1VPYC","X002C0NQOB","B09BD1VPYC","Yesland 3 Tier Turntable - 12'' Round Tiered Rotating Kitchen Spice Organizer and Non-Skid Organization Storage Container - Tiered Tray for Fruit, Snacks, Cosmetic, Pantry, Bathroom(Grey)","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_home","","","0","","","142.5","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","ARSTA01D604764","X0028LMTYR","B09BVWDK5C","Uni-ball Eye UB-157 Rollerball Pens 0.7mm Nib Pack of 6 Pieces - Multi Color","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_office_product","","","0","","","340.0","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","DHKTCCS001","X001TD4BO1","B08XXJ3S39","Spoon Rest Kitchen Utensil Holder, Silicone Spoon Rest Kitchen Utensil Rest Spoon Holder for Stove Top Chopstick","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","120.0","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","04ARHA07G001206","X0028LEYO5","B08G1L61M7","Press Coffee Maker (300ml) Insulated Coffee Press with 2-Layered Filter Structure","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","165.0","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","ARKS134G005649","X002DQEWUB","B0BF5WLZYH","Reusable Silicone Air Fryer Liners, 2-Pack - Non-Stick Baking Tray & Basket Mats","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","92.9","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
